 Rockwell DT
 International NN
 Corp. IN
 's DT
 Tulsa NN
 unit IN
 said DT
 it NN
 signed IN
 a DT
 tentative JJ
 agreement NN
 extending IN
 its DT
 contract NN
 with IN
 Boeing DT
 Co. NN
 to TO
 provide VB
 structural DT
 parts NN
 for IN
 Boeing NNP
 's NNP
 747 NNP
 jetliners NNP
 . .

 Rockwell NN
 said IN
 the DT
 agreement NN
 calls NN
 for IN
 it DT
 to JJ
 supply NN
 200 IN
 additional DT
 so-called JJ
 shipsets NN
 for IN
 the DT
 planes NN
 . .

 These DT
 include NN
 , ,
 among DT
 other JJ
 parts NN
 , ,
 each DT
 jetliner NN
 's IN
 two NNP
 major NNP
 bulkheads NNP
 , ,
 a DT
 pressure NN
 floor NN
 , ,
 torque DT
 box NN
 , ,
 fixed DT
 leading JJ
 edges NN
 for IN
 the DT
 wings NN
 and IN
 an DT
 aft NN
 keel IN
 beam NNP
 . .

 Under IN
 the DT
 existing JJ
 contract NN
 , ,
 Rockwell DT
 said NN
 , ,
 it DT
 has NN
 already IN
 delivered DT
 793 NN
 of IN
 the DT
 shipsets NN
 to TO
 Boeing VB
 . .

 Rockwell NNP
 , ,
 based NN
 in IN
 El DT
 Segundo NN
 , ,
 Calif. NNP
 , ,
 is IN
 an DT
 aerospace NN
 , ,
 electronics NNP
 , ,
 automotive NNP
 and NNP
 graphics NNP
 concern NNP
 . .

 Frank DT
 Carlucci NN
 III IN
 was DT
 named NN
 to IN
 this DT
 telecommunications NN
 company IN
 's DT
 board NN
 , ,
 filling IN
 the DT
 vacancy JJ
 created NN
 by IN
 the DT
 death NN
 of IN
 William NNP
 Sobey NNP
 last NNP
 May NNP
 . .

 Mr. NNP
 Carlucci NNP
 , ,
 59 NNP
 years NNP
 old NNP
 , ,
 served NN
 as IN
 defense DT
 secretary NN
 in IN
 the DT
 Reagan NN
 administration NNS
 . .

 In IN
 January NNP
 , ,
 he NN
 accepted IN
 the DT
 position NN
 of IN
 vice DT
 chairman NN
 of IN
 Carlyle NNP
 Group NNP
 , ,
 a DT
 merchant NN
 banking IN
 concern NNP
 . .

 SHEARSON NNP
 LEHMAN NNP
 HUTTON NNP
 Inc NNP
 . .

